Loved O O
the O O
writing B-LABEL B-LABEL
style I-LABEL I-LABEL
the O O
line B-LABEL B-LABEL
Penelope's O I-LABEL
skin O I-LABEL
was O I-LABEL
not O I-LABEL
divine O I-LABEL
was O O
great O O
, O O
as O O
was O O
the O O
last B-LABEL B-LABEL
line I-LABEL I-LABEL
! O O

Oh B-LABEL B-LABEL
my I-LABEL I-LABEL
God I-LABEL I-LABEL
! O O
! O O
! O O

Come O O
on O O
, O O
Greek O O
lovers O O
, O O
drown O O
Sparklight O B-LABEL
in O O
love B-LABEL B-LABEL
and I-LABEL O
kudos I-LABEL B-LABEL
! O O
! O O
! O O

His O O
mother O O
Demeter B-LABEL B-LABEL
is O O
crazy O O
! O O

I O O
love O O
this O O
kind O O
of O O
sweet B-LABEL O
smut I-LABEL B-LABEL
. O O

This B-LABEL B-LABEL
was O O
honestly O O
beautifully O O
written B-LABEL B-LABEL
. O O

Monty's B-LABEL B-LABEL
amnesia I-LABEL I-LABEL
and O O
Clarinda's B-LABEL B-LABEL
reaction I-LABEL I-LABEL
are O O
so O O
over O O
the O O
top O O
adorable O O
and O O
silly O O
too O O
. O O

I O O
feel B-LABEL B-LABEL
you O O
in O O
more O O
ways O B-LABEL
than O O
one O O
; O O
that O O
i O B-LABEL
never O I-LABEL
could O I-LABEL
put O I-LABEL
down O I-LABEL
a O I-LABEL
book O I-LABEL
, O O
that O O
i O B-LABEL
didnt O B-LABEL
want O I-LABEL
to O I-LABEL
know O O
what O O
happened O O
next O O
, O O
and O O
that O O
in O O
my O O
future O O
, O O
i O O
wish O O
to O O
be O O
an O O
interpreter O O
. O O

And O O
of O O
course O O
this O O
story B-LABEL B-LABEL
is O O
so O O
lovely O O
so O O
I O O
m O O
always O O
looking B-LABEL O
forward I-LABEL O
to O O
a O O
new O O
chapter O O
OKAY O B-LABEL
! O O

Chapter O O
92 O O
No O O
Choice O O
Oh B-LABEL B-LABEL
yes I-LABEL I-LABEL
! I-LABEL O

But O O
this O O
was O O
the O O
best O O
alternative O B-LABEL
, O O
she O O
supposed O O
. O O
; O O
it's O O
perfectly O O
cold O O
in O O
the O O
way O O
only O O
a O O
goddess B-LABEL O
could O O
be O O
! O O

Only O O
Achilles O B-LABEL
would O O
go O O
through O O
these O O
kinds O O
of O O
lengths O O
to O O
get O O
Patroclus' O B-LABEL
attention O O
I O O
love O O
small O O
bouts O O
of O O
Hector B-LABEL B-LABEL
x I-LABEL I-LABEL
Patroclus I-LABEL B-LABEL
or O O
other B-LABEL O
Male I-LABEL B-LABEL
character I-LABEL I-LABEL
x I-LABEL I-LABEL
Patroclus I-LABEL B-LABEL
bc O O
my O O
boy O O
is O O
definitely O O
the O O
kind O O
others O O
would O O
be O O
attracted O O
by O O
, O O
not O O
to O O
mention O O
my O O
guilty O O
pleasure O O
is O O
jealous O O
or O O
claimy O O
Achilles O B-LABEL
keep O O
it O O
up O O
, O O
I O O
love O O
your O O
works B-LABEL B-LABEL

This O O
did O O
wonderful O O
work O B-LABEL
to O O
elaborate B-LABEL O
on I-LABEL O
an I-LABEL O
intriguing I-LABEL O
, I-LABEL O
but I-LABEL O
not I-LABEL O
very I-LABEL O
developed I-LABEL O
part I-LABEL B-LABEL
of I-LABEL I-LABEL
the I-LABEL I-LABEL
mythos I-LABEL I-LABEL
. O O

This B-LABEL B-LABEL
was O O
absolutely O O
perfect O O
! O O
! O O
! O O

I O O
Love O O
how O O
even B-LABEL O
though I-LABEL O
she I-LABEL O
doesn't I-LABEL B-LABEL
really I-LABEL I-LABEL
know I-LABEL I-LABEL
what I-LABEL I-LABEL
to I-LABEL I-LABEL
do I-LABEL I-LABEL
with I-LABEL I-LABEL
Athena's I-LABEL B-LABEL
gifts I-LABEL I-LABEL
, I-LABEL I-LABEL
she I-LABEL B-LABEL
keeps I-LABEL I-LABEL
every I-LABEL I-LABEL
one I-LABEL I-LABEL
. O O

Their B-LABEL O
realtionship I-LABEL B-LABEL
is O O
extremely O O
well O O
written B-LABEL B-LABEL
. O O

Athos B-LABEL B-LABEL
stirred O B-LABEL
. O O

P O O
. O O
S O O
. O O
the O O
scene B-LABEL B-LABEL
with I-LABEL I-LABEL
the I-LABEL I-LABEL
body I-LABEL I-LABEL
bag I-LABEL I-LABEL
in I-LABEL I-LABEL
the I-LABEL I-LABEL
car I-LABEL I-LABEL
gutted B-LABEL B-LABEL
me O O

I O O
m O O
sure O O
Achilles B-LABEL B-LABEL
would O O
be O O
happy B-LABEL O
to O O
teach O O
him O O
. O O

Fantastic B-LABEL B-LABEL
! O O

Certainly O O
not O O
this O O
beautifully O O
woven O B-LABEL
tale B-LABEL B-LABEL
that O O
hits B-LABEL B-LABEL
at I-LABEL I-LABEL
all I-LABEL I-LABEL
the I-LABEL I-LABEL
right I-LABEL I-LABEL
places I-LABEL I-LABEL
. O O

This O O
story B-LABEL B-LABEL
has O O
been O O
such O O
an O O
epic O B-LABEL
journey O I-LABEL
over O O
the O O
last O O
year O O
and O O
I've O O
had O O
so O O
much O O
fun O O
workshopping O B-LABEL
it O O
with O O
you O O
! O O

I O O
loved O O
the O O
communication B-LABEL B-LABEL
on O I-LABEL
display O I-LABEL
here O O
, O O
and O O
how B-LABEL O
the I-LABEL O
Labyrinth's I-LABEL B-LABEL
consciousness I-LABEL I-LABEL
worked I-LABEL I-LABEL
. O O

Ah O O
, O O
Liz O B-LABEL
, O O
you O O
did O O
a O O
wonderful O O
job B-LABEL B-LABEL
here O O
. O O

You O O
even O O
rekindled O O
my O O
forgotten O O
love O O
of O O
Invader B-LABEL B-LABEL
Zim I-LABEL O
. O O

Persephone B-LABEL B-LABEL
liking I-LABEL O
the I-LABEL O
underworld I-LABEL O
y I-LABEL B-LABEL
bits I-LABEL O
better I-LABEL O
than I-LABEL O
the I-LABEL O
pretty I-LABEL O
pretty I-LABEL O
and I-LABEL O
choosing I-LABEL O
it I-LABEL O
for I-LABEL O
herself I-LABEL O
is O O
totally O O
my O O
canon O O
now O O
. O O

What O O
a O O
cunning O O
little O O
chyortik B-LABEL B-LABEL
! O O

Shit B-LABEL B-LABEL
. O O

It's O O
just O O
the O O
right O O
feeling B-LABEL B-LABEL
that O O
I O O
wanted O O
the O O
story B-LABEL O
to O O
have O O
and O O
I O O
love O O
the O O
modern B-LABEL B-LABEL
setting I-LABEL I-LABEL
that O O
still O O
kept O O
true O O
to O O
the O O
myth B-LABEL B-LABEL
. O O
I O O
actually O O
hadn't O O
read O O
a O O
lot O O
about O O
Pomona B-LABEL O
and I-LABEL O
Vertumnus I-LABEL O
before O O
so O O
this O O
is O O
great O O
to O O
delve B-LABEL O
deeper I-LABEL O
into O O
a O O
story B-LABEL O
I O O
hadn't O O
really O O
given O O
enough O O
attention O O
to O O
before O O
. O O

I O O
would O O
LOVE B-LABEL O
to O O
make O O
a O O
translation O O
of O O
this O O
story O O
into O O
my O O
language O O
and O O
than O O
post O O
it O O
on O O
the O O
best O O
known O O
website O O
for O O
writers O O
we O O
have O O
here O O
. O O

I O O
keep O O
coming O O
back O O
for O O
a O O
reread O O
because O O
it B-LABEL B-LABEL
s O O
just O O
so O O
chefs O O
kisses O B-LABEL
idk O O
why O O
but O O
it B-LABEL B-LABEL
resonated B-LABEL B-LABEL
with I-LABEL I-LABEL
me I-LABEL I-LABEL
so I-LABEL I-LABEL
deeply I-LABEL I-LABEL
and O O
i O O
